id,name,category,regency,rating,totalRatings,priceLevel
199,Waterbom Bali,tourist_attraction,Kabupaten Badung,4.70,18191,
200,Kuta Beach,park,Kabupaten Badung,4.50,20922,
203,Masceti Temple,hindu_temple,Kabupaten Badung,4.20,778,
204,Wiracana HandFan Sesetan,museum,Kota Denpasar,4.70,200,
205,Bali Pet Nirvana,zoo,Kabupaten Badung,4.60,729,
206,Bali Exotic Marine Park,zoo,Kota Denpasar,4.50,1250,
207,Benoa Bay,natural_feature,Kabupaten Badung,4.40,228,
208,Bali Wake Park,amusement_park,Kota Denpasar,4.40,1959,
209,Taman Sari Wisata Bahari,amusement_park,Kabupaten Badung,4.30,573,
210,Garuda Wisnu Kencana Cultural Park,kecak,Kabupaten Badung,4.50,70899,
212,Sunset Kecak Fire Dance - Kuta,kecak,Kabupaten Badung,4.90,72,
215,Pura Dalem Agung Padangtegal,tourist_attraction,Kabupaten Gianyar,4.50,299,
217,Taman Nusa,tourist_attraction,Kabupaten Gianyar,4.30,1567,
218,Sacred Monkey Forest Sanctuary,park,Kabupaten Gianyar,4.50,58764,
219,Temple Yeh Pulu,hindu_temple,Kabupaten Gianyar,4.20,321,
221,Njana Tilem Museum,museum,Kabupaten Gianyar,4.60,199,
222,The Amazing Taman Safari Bali,zoo,Kabupaten Gianyar,4.50,24068,
223,Bali Zoo,zoo,Kabupaten Gianyar,4.50,27470,
224,Keramas Water Park,amusement_park,Kabupaten Gianyar,4.20,1342,
225,Real Bali Swing,amusement_park,Kabupaten Badung,4.60,14880,
226,Kecak & Fire Dance - Ubud Kaja at Pura Dalem Ubud,kecak,Kabupaten Gianyar,4.60,233,
227,Kecak & Fire Dance at Pura Puseh Ubud,kecak,Kabupaten Gianyar,4.50,187,
228,Ubud Kecak & Fire Dance Show by Bali Performance,kecak,Kabupaten Gianyar,4.40,148,
229,Balerung Stage,traditional dance,Kabupaten Gianyar,4.80,167,
230,"Kecak & Barong Dance at Tanah Gajah, Ubud",traditional dance,Kabupaten Gianyar,4.50,27,
231,Tegenungan Waterfall,waterfall,Kabupaten Gianyar,4.40,37515,
232,Suwat Waterfall,waterfall,Kabupaten Gianyar,4.60,1940,
233,Secret Waterfall,waterfall,Kabupaten Gianyar,3.60,231,
234,Museum Buleleng (ᬫᬸᬲᬶᬬᬸᬫ᭄ ᬩᬸᬮᬾᬮᬾᬂ᭟ ),tourist_attraction,Kabupaten Buleleng,4.40,157,
235,Taman Kota Singaraja,tourist_attraction,Kabupaten Buleleng,4.50,5886,
236,Alam Sambangan - The Secret Valley Club,park,Kabupaten Buleleng,4.20,1080,2
237,Air Terjun Colek Pamor,park,Kabupaten Buleleng,4.50,237,
238,Beji Sangsit Temple,hindu_temple,Kabupaten Buleleng,4.60,746,
239,Gedong Kirtya,museum,Kabupaten Buleleng,4.50,118,
240,National Park of Buleleng,amusement_park,Kabupaten Buleleng,4.50,249,
241,Taman Bung Karno,amusement_park,Kabupaten Buleleng,4.60,1179,
242,Gitgit Waterfall,waterfall,Kabupaten Buleleng,4.30,3870,
243,Sekumpul Waterfall,waterfall,Kabupaten Buleleng,4.30,2321,
244,Singsing Waterfall,waterfall,Kabupaten Buleleng,3.60,205,
245,KECAK GUEST HOUSE,kecak,Kabupaten Buleleng,4.90,132,
246,Toko Kecak (Kecak Shop),kecak,Kabupaten Buleleng,4.30,8,
248,"Palm Reading, Healing Energy. Massage.",traditional dance,Kabupaten Buleleng,5.00,12,
249,Balinese dance group lovina,traditional dance,Kabupaten Buleleng,5.00,133,
250,Jimmy Hendrix Dance Group,traditional dance,Kabupaten Buleleng,4.20,38,
252,Bali Bird Park,park,Kabupaten Gianyar,4.60,14035,
253,Taman Janggan Renon Denpasar,park,Kota Denpasar,4.60,1763,
254,Puri Agung Denpasar,hindu_temple,Kota Denpasar,4.70,147,
255,Agrowisata Tupai Emas,zoo,Kota Denpasar,4.70,101,
256,Serangan Island,natural_feature,Kota Denpasar,4.40,275,
257,Blangsinga Waterfall,waterfall,Kabupaten Gianyar,4.60,739,
258,Grubugan Waterfall Sading,waterfall,Kabupaten Badung,4.10,31,
259,Kecak Dance Batubulan,kecak,Kabupaten Gianyar,4.50,340,
260,Barong & Kris Dance Jambe Budaya,traditional dance,Kabupaten Gianyar,4.20,839,
261,Balai Banjar Pemamoran,traditional dance,Kabupaten Badung,4.90,32,
262,Barong And Kris Dance,traditional dance,Kabupaten Gianyar,4.30,499,
263,Monumen Bajra Sandhi,tourist_attraction,Kota Denpasar,4.60,16,
264,Taman Werdhi Budaya Art Centre,museum,Kota Denpasar,4.60,10,
265,Pasar Badung,tourist_attraction,Kota Denpasar,4.50,18,
266,Museum Bali,museum,Kota Denpasar,4.30,3,
267,Agung Jagatnatha Temple,hindu_temple,Kota Denpasar,4.70,1,
268,Pantai Sanur,natural_feature,Kota Denpasar,4.50,6,
269,Lapangan Puputan Badung,park,Kota Denpasar,4.70,4,
270,Taman Kota Sewaka Dharma,park,Kota Denpasar,4.50,11,
271,Blue Ocean Dive Center Menjangan,water-sports,Kabupaten Buleleng,5.00,111,
272,Karang Divers,water-sports,Kabupaten Buleleng,4.80,151,
273,Blue Lagoon Snorkeling,water-sports,Kabupaten Badung,4.50,311,
274,Bali Snorkeling Tour,water-sports,Kabupaten Badung,4.30,10,
275,One Day Nusa Penida Tour - Snorkeling,water-sports,Kabupaten Badung,5.00,426,
276,DUNE BALI ATLANTIS Diving - International,water-sports,Kota Denpasar,4.90,945,
277,Golden Horizon - Snorkeling Bali,water-sports,Kabupaten Badung,4.90,151,
278,BALI SNORKELING,water-sports,Kota Denpasar,4.80,142,
279,Nuanu Museum,museum,Kabupaten Tabanan,4.50,50,
280,Aksari Resort & Spa Ubud by iNi Vie Hospitality,tourist_attraction,Kabupaten Gianyar,4.80,2431,
281,Pura Tirta Empul,tourist_attraction,Kabupaten Gianyar,4.60,29724,
282,"Pemulan Bali Farm Cooking School, Ubud",tourist_attraction,Kabupaten Gianyar,5.00,3210,
283,Wana Ayu Jelijih,park,Kabupaten Gianyar,4.90,174,
284,The Sukarno Center,museum,Kabupaten Gianyar,4.60,452,
285,Mason Elephant Park & Lodge,zoo,Kabupaten Gianyar,4.00,5014,
286,U Fun Field- Swing zipline & more,amusement_park,Kabupaten Gianyar,4.70,1274,
287,Nungnung Waterfall,waterfall,Kabupaten Badung,4.80,950,
288,Manuaba Waterfall,waterfall,Kabupaten Gianyar,4.80,1683,
290,Maniq Restaurant | 12+,traditional dance,Kabupaten Gianyar,4.70,82,
291,Vanara Restaurant,traditional dance,Kabupaten Gianyar,4.90,59,
293,Great Mosque Tabanan,tourist_attraction,Kabupaten Tabanan,4.80,796,
294,Belimbing Rice Terraces,tourist_attraction,Kabupaten Tabanan,4.70,684,
295,Alas Kedaton,park,Kabupaten Tabanan,4.20,2662,
296,Tanah Lot,tourist_attraction,Kabupaten Tabanan,4.60,102433,
297,Taman Ayun Temple,tourist_attraction,Kabupaten Badung,4.60,9828,
298,Tabanan Anom Palace,museum,Kabupaten Tabanan,4.80,907,
299,Subak Museum,museum,Kabupaten Tabanan,4.20,371,
300,Objek Wisata Sangeh,zoo,Kabupaten Badung,4.60,166,
302,Umadhatu Resort,amusement_park,Kabupaten Tabanan,4.30,846,
303,Alam Tirta Outbound,amusement_park,Kabupaten Badung,4.40,578,
304,"LUMBUNGASRI | Puri Lumbung Waterpark, restaurant & cottage Managed by GHAYATRI Management",amusement_park,Kabupaten Badung,3.90,334,1
305,Leke Leke Waterfall,waterfall,Kabupaten Tabanan,4.50,3522,
306,Pengempu Waterfall,waterfall,Kabupaten Tabanan,4.20,820,
307,Kecak Dance Tanah Lot,kecak,Kabupaten Tabanan,4.60,83,
308,Kecak Pura Puseh Batubulan,kecak,Kabupaten Gianyar,4.80,41,
309,Taman Anyar - Traditional Balinese House,traditional dance,Kabupaten Badung,4.80,174,
