id,name,category,regency,rating,totalRatings,priceLevel,Price
199,Waterbom Bali,tourist_attraction,Kabupaten Badung,4.7,18191,,350000
200,Kuta Beach,park,Kabupaten Badung,4.5,20922,,Free
203,Masceti Temple,hindu_temple,Kabupaten Badung,4.2,778,,30000
204,Wiracana HandFan Sesetan,museum,Kota Denpasar,4.7,200,,50000
205,Bali Pet Nirvana,zoo,Kabupaten Badung,4.6,729,,350000
206,Bali Exotic Marine Park,zoo,Kota Denpasar,4.5,1250,,350000
207,Benoa Bay,natural_feature,Kabupaten Badung,4.4,228,,Free
208,Bali Wake Park,amusement_park,Kota Denpasar,4.4,1959,,350000
209,Taman Sari Wisata Bahari,amusement_park,Kabupaten Badung,4.3,573,,350000
210,Garuda Wisnu Kencana Cultural Park,kecak,Kabupaten Badung,4.5,70899,,135000
212,Sunset Kecak Fire Dance - Kuta,kecak,Kabupaten Badung,4.9,72,,150000
215,Pura Dalem Agung Padangtegal,tourist_attraction,Kabupaten Gianyar,4.5,299,,30000
217,Taman Nusa,tourist_attraction,Kabupaten Gianyar,4.3,1567,,50000
218,Sacred Monkey Forest Sanctuary,park,Kabupaten Gianyar,4.5,58764,,100000
219,Temple Yeh Pulu,hindu_temple,Kabupaten Gianyar,4.2,321,,30000
221,Njana Tilem Museum,museum,Kabupaten Gianyar,4.6,199,,50000
222,The Amazing Taman Safari Bali,zoo,Kabupaten Gianyar,4.5,24068,,500000
223,Bali Zoo,zoo,Kabupaten Gianyar,4.5,27470,,350000
224,Keramas Water Park,amusement_park,Kabupaten Gianyar,4.2,1342,,350000
225,Real Bali Swing,amusement_park,Kabupaten Badung,4.6,14880,,350000
226,Kecak & Fire Dance - Ubud Kaja at Pura Dalem Ubud,kecak,Kabupaten Gianyar,4.6,233,,150000
227,Kecak & Fire Dance at Pura Puseh Ubud,kecak,Kabupaten Gianyar,4.5,187,,150000
228,Ubud Kecak & Fire Dance Show by Bali Performance,kecak,Kabupaten Gianyar,4.4,148,,150000
229,Balerung Stage,traditional dance,Kabupaten Gianyar,4.8,167,,150000
230,"Kecak & Barong Dance at Tanah Gajah, Ubud",traditional dance,Kabupaten Gianyar,4.5,27,,150000
231,Tegenungan Waterfall,waterfall,Kabupaten Gianyar,4.4,37515,,25000
232,Suwat Waterfall,waterfall,Kabupaten Gianyar,4.6,1940,,25000
233,Secret Waterfall,waterfall,Kabupaten Gianyar,3.6,231,,25000
234,Museum Buleleng (á¬«á¬¸á¬²á¬¶á¬¬á¬¸á¬«á­ á¬©á¬¸á¬®á¬¾á¬®á¬¾á¬á­ ),tourist_attraction,Kabupaten Buleleng,4.4,157,,50000
235,Taman Kota Singaraja,tourist_attraction,Kabupaten Buleleng,4.5,5886,,Free
236,Alam Sambangan - The Secret Valley Club,park,Kabupaten Buleleng,4.2,1080,2.0,Free
237,Air Terjun Colek Pamor,park,Kabupaten Buleleng,4.5,237,,Free
238,Beji Sangsit Temple,hindu_temple,Kabupaten Buleleng,4.6,746,,30000
239,Gedong Kirtya,museum,Kabupaten Buleleng,4.5,118,,50000
240,National Park of Buleleng,amusement_park,Kabupaten Buleleng,4.5,249,,350000
241,Taman Bung Karno,amusement_park,Kabupaten Buleleng,4.6,1179,,Free
242,Gitgit Waterfall,waterfall,Kabupaten Buleleng,4.3,3870,,25000
243,Sekumpul Waterfall,waterfall,Kabupaten Buleleng,4.3,2321,,25000
244,Singsing Waterfall,waterfall,Kabupaten Buleleng,3.6,205,,25000
245,KECAK GUEST HOUSE,kecak,Kabupaten Buleleng,4.9,132,,150000
246,Toko Kecak (Kecak Shop),kecak,Kabupaten Buleleng,4.3,8,,150000
